query1.png,Hydrant,Hydrant,Palm,Bus,Bus,Bridge,Bus,Bridge,Hydrant,Bus
query10.png,Palm,Motorcycle,Traffic Light,Palm,Palm,Palm,Palm,Palm,Palm,Palm
query100.png,Bicycle,Hydrant,Car,Hydrant,Bus,Bus,Bicycle,Car,Bridge,Hydrant
query11.png,Hydrant,Chimney,Palm,Palm,Hydrant,Bicycle,Hydrant,Bicycle,Hydrant,Chimney
query12.png,Chimney,Chimney,Palm,Chimney,Chimney,Chimney,Chimney,Chimney,Palm,Chimney
query13.png,Bridge,Car,Bridge,Car,Crosswalk,Crosswalk,Crosswalk,Bridge,Bicycle,Hydrant
query14.png,Bus,Bus,Car,Traffic Light,Bicycle,Bus,Car,Bus,Bus,Bus
query15.png,Palm,Traffic Light,Chimney,Chimney,Chimney,Palm,Crosswalk,Palm,Palm,Palm
query16.png,Motorcycle,Car,Bicycle,Motorcycle,Motorcycle,Bicycle,Crosswalk,Motorcycle,Bicycle,Car
query17.png,Bus,Bus,Bridge,Bus,Bus,Bus,Bus,Bridge,Bus,Bridge
query18.png,Palm,Palm,Traffic Light,Palm,Crosswalk,Palm,Palm,Chimney,Traffic Light,Palm
query19.png,Car,Palm,Bicycle,Bridge,Crosswalk,Motorcycle,Chimney,Car,Chimney,Bicycle
query2.png,Crosswalk,Hydrant,Crosswalk,Chimney,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Bicycle,Crosswalk
query20.png,Car,Bus,Car,Car,Bicycle,Car,Bridge,Crosswalk,Bus,Bicycle
query21.png,Bus,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Bicycle,Crosswalk,Bicycle,Crosswalk,Bridge
query22.png,Bus,Hydrant,Hydrant,Hydrant,Hydrant,Hydrant,Hydrant,Palm,Car,Bicycle
query23.png,Bicycle,Bicycle,Bicycle,Bridge,Motorcycle,Crosswalk,Hydrant,Palm,Crosswalk,Chimney
query24.png,Chimney,Palm,Chimney,Chimney,Chimney,Palm,Chimney,Palm,Chimney,Traffic Light
query25.png,Hydrant,Car,Hydrant,Hydrant,Hydrant,Bicycle,Hydrant,Hydrant,Chimney,Bicycle
query26.png,Bus,Bicycle,Hydrant,Car,Bicycle,Crosswalk,Bicycle,Hydrant,Crosswalk,Hydrant
query27.png,Palm,Bridge,Palm,Palm,Chimney,Palm,Palm,Bridge,Bicycle,Hydrant
query28.png,Hydrant,Car,Car,Car,Crosswalk,Bus,Motorcycle,Bridge,Palm,Crosswalk
query29.png,Bicycle,Bicycle,Hydrant,Bicycle,Bridge,Bridge,Hydrant,Hydrant,Bus,Chimney
query3.png,Crosswalk,Bridge,Crosswalk,Hydrant,Crosswalk,Car,Car,Motorcycle,Bridge,Bridge
query30.png,Chimney,Palm,Palm,Bicycle,Car,Chimney,Bicycle,Palm,Motorcycle,Bridge
query31.png,Crosswalk,Bus,Crosswalk,Hydrant,Hydrant,Bicycle,Hydrant,Bicycle,Chimney,Hydrant
query32.png,Palm,Chimney,Bus,Palm,Chimney,Crosswalk,Palm,Palm,Palm,Chimney
query33.png,Chimney,Chimney,Hydrant,Chimney,Chimney,Palm,Bridge,Hydrant,Palm,Chimney
query34.png,Chimney,Crosswalk,Chimney,Chimney,Palm,Palm,Hydrant,Bus,Chimney,Bicycle
query35.png,Bicycle,Bus,Motorcycle,Bus,Car,Motorcycle,Car,Motorcycle,Bus,Crosswalk
query36.png,Chimney,Palm,Palm,Traffic Light,Palm,Motorcycle,Bridge,Palm,Traffic Light,Motorcycle
query37.png,Palm,Chimney,Bicycle,Motorcycle,Car,Traffic Light,Bridge,Chimney,Hydrant,Bus
query38.png,Bridge,Crosswalk,Bridge,Car,Bridge,Crosswalk,Palm,Palm,Palm,Bridge
query39.png,Bridge,Bus,Bicycle,Chimney,Palm,Chimney,Bus,Chimney,Crosswalk,Traffic Light
query4.png,Hydrant,Bicycle,Hydrant,Bicycle,Car,Car,Hydrant,Crosswalk,Hydrant,Motorcycle
query40.png,Car,Bicycle,Bridge,Car,Bicycle,Crosswalk,Car,Car,Car,Car
query41.png,Car,Crosswalk,Car,Car,Hydrant,Motorcycle,Motorcycle,Traffic Light,Bicycle,Hydrant
query42.png,Chimney,Chimney,Chimney,Chimney,Chimney,Chimney,Chimney,Chimney,Crosswalk,Chimney
query43.png,Chimney,Chimney,Chimney,Chimney,Bicycle,Chimney,Chimney,Palm,Palm,Palm
query44.png,Traffic Light,Chimney,Traffic Light,Motorcycle,Palm,Palm,Palm,Palm,Palm,Traffic Light
query45.png,Bicycle,Bicycle,Bus,Crosswalk,Bicycle,Bicycle,Bicycle,Hydrant,Crosswalk,Bicycle
